freq original repeat narrow
7.8 0.526781773502 0.518885376018 0.530141702271
7.8075 0.528223368885 0.520071472644 0.532595739021
7.815 0.529664964267 0.521257569271 0.535480125587
7.8225 0.531329449935 0.522643486618 0.538902700095
7.83 0.533142529127 0.524162617778 0.543014536667
7.8375 0.535061765981 0.525777315688 0.54802041457
7.845 0.537405633482 0.527774280592 0.554174506977
7.8525 0.539749500984 0.529771245497 0.561886068301
7.86 0.542722556292 0.532336486201 0.57167458899
7.8675 0.545852908553 0.535043795855 0.584207973088
7.875 0.549471212992 0.538192977861 0.600014369125
7.8825 0.553821445701 0.542004968395 0.617786278987
7.89 0.558171678409 0.545816958929 0.625152336275
7.8975 0.564524356564 0.55144737379 0.562295189701
7.905 0.570877034718 0.557077788651 0.347377095773
7.9125 0.579331465013 0.564629085166 0.199465549889
7.92 0.589187063402 0.573460969449 0.236686896933
7.9275 0.600293436895 0.583470845486 0.290175456387
7.935 0.616402910799 0.59819268854 0.326789994026
7.9425 0.632512384703 0.612914531594 0.35111773389
7.95 0.652036067362 0.632921415854 0.367690464631
7.9575 0.67241330221 0.654249560416 0.379221295357
7.965 0.648012708792 0.640291341669 0.387340879238
7.9725 0.556445372973 0.573403577959 0.392964956808
7.98 0.464878037155 0.506515814248 0.396721061276
7.9875 0.335640511106 0.358695669849 0.39897871196
7.995 0.206402985057 0.210875525449 0.399944532307
8.0025 0.182719577752 0.178484847502 0.399776830173
8.01 0.229405582943 0.22304714719 0.398516220184
8.0175 0.271751123361 0.263669684243 0.396187028577
8.025 0.29673480469 0.288533170752 0.392724363738
8.0325 0.321718486018 0.313396657261 0.388006996516
8.04 0.336807094988 0.328029084978 0.381859888519
8.0475 0.349421935868 0.340103747998 0.373981620234
8.055 0.35972103775 0.349807098446 0.363994938686
8.0625 0.366546531135 0.355953480037 0.351304035201
8.07 0.373372024521 0.362099861629 0.335009298259
8.0775 0.376979850255 0.364932003304 0.313845969914
8.085 0.38058767599 0.367764144979 0.285853534877
8.0925 0.382929751433 0.369257469712 0.248151951269
8.1 0.384427993348 0.369858249817 0.197168066225
8.1075 0.385601058183 0.370098325371 0.135730208773
8.115 0.385473414695 0.368895582719 0.133152192051
8.1225 0.385345771208 0.367692840067 0.286237360251
8.13 0.384040376159 0.365099883925 0.501258438745
8.1375 0.38244054322 0.362159374411 0.654902816385
8.145 0.380219891224 0.358436258095 0.708004053279
8.1525 0.377068010641 0.353539231577 0.707752674929
8.16 0.373916130059 0.348642205058 0.691322742074
8.1675 0.36889551744 0.341241685468 0.67266888079
8.175 0.363874904821 0.333841165879 0.65572183188
8.1825 0.357345347188 0.324308579464 0.641232618862
8.19 0.349809826213 0.313354615165 0.629043082987
8.1975 0.341529466095 0.301299413389 0.618809283277
8.205 0.330269749411 0.284839261698 0.610156914031
8.2125 0.319010032727 0.268379110007 0.602811439974
8.22 0.302934827744 0.244598395303 0.596514688457
8.2275 0.285655750685 0.218987539845 0.591078736024
8.235 0.264187348083 0.187713400517 0.586356522074
8.2425 0.236434957165 0.147944335386 0.582223918976
8.25 0.208682566247 0.108175270254 0.578585403058
8.2575 0.164964695503 0.117457201897 0.575369669592
8.265 0.121246824758 0.126739133539 0.572509448607
8.2725 0.123033157422 0.202885887278 0.56995698001
8.28 0.155155625692 0.323609189082 0.567668631742
8.2875 0.208372105264 0.44129990777 0.565604402168
8.295 0.345964630047 0.546860293994 0.563745231149
8.3025 0.48355715483 0.652420680218 0.562064229686
8.31 0.576779496836 0.69403794055 0.560536172412
8.3175 0.658909293147 0.719669419409 0.559148864575
8.325 0.710734875825 0.731975122776 0.557886924905
8.3325 0.717104138052 0.724292162907 0.556740642641
8.34 0.723473400279 0.716609203038 0.555688507016
8.3475 0.712017617406 0.704642806985 0.554724884348
8.355 0.700561834534 0.692676410931 0.553844097009
8.3625 0.689133714956 0.681737271105 0.55303660166
8.37 0.677724037573 0.671482968763 0.552299159607
8.3775 0.666794714376 0.661668062854 0.551625402981
8.385 0.657786807916 0.653610742672 0.551007416267
8.3925 0.648778901457 0.645553422491 0.550441144677
8.4 0.641463318777 0.638921790153 0.549922851332
